column,dtype,non_null,missing,n_unique
epithelialcells_max,float64,31,560455,6
globulin_max,float64,172922,387564,87
glucose_max,float64,244254,316232,820
"glucose,meter_max",float64,79668,480818,575
"hco3calculated,venous(poc)_max",float64,25038,535448,411
hematocrit_max,float64,248974,311512,507
hemoglobin_max,float64,248930,311556,186
immaturegrans(abs)_max,float64,48605,511881,30
immaturegranulocytes_max,float64,48619,511867,112
inr_max,float64,137737,422749,795
"lactate,poc_max",float64,107161,453325,178
lipase_max,float64,121742,438744,713
lymphs_max,float64,247613,312873,671
magnesium_max,float64,109485,451001,51
mch_max,float64,249783,310703,328
mchc_max,float64,249784,310702,156
mcv_max,float64,249836,310650,598
monocytes_max,float64,248369,312117,297
monosabs_max,float64,50245,510241,550
mpv_max,float64,249617,310869,148
neutrophils_max,float64,248467,312019,724
nrbc_max,float64,53206,507280,127
nrbcabsolute_max,float64,50038,510448,34
"o2satcalculated,venous(poc)_max",float64,25017,535469,95
pco2(poc)_max,float64,90948,469538,121
"pco2,venous(poc)_max",float64,25038,535448,109
"ph,venous(poc)_max",float64,25039,535447,86
"phencyclidine(pcp)screen,urine,noconf._max",float64,0,560486,0
phosphorus_max,float64,95010,465476,138
platelets_max,float64,249797,310689,911
po2(poc)_max,float64,90901,469585,207
"po2,venous(poc)_max",float64,25035,535451,153
pocbun_max,float64,118861,441625,139
poccreatinine_max,float64,118946,441540,191
pocglucose_max,float64,143160,417326,685
pochematocrit_max,float64,119059,441427,67
pocionizedcalcium_max,float64,119024,441462,64
pocph_max,float64,99699,460787,117
pocpotassium_max,float64,118943,441543,72
pocsodium_max,float64,119084,441402,71
poctroponini._max,float64,4425,556061,46
potassium_max,float64,242467,318019,83
proteintotal_max,float64,171933,388553,99
prothrombintime_max,float64,137674,422812,809
ptt_max,float64,106145,454341,646
rbc_max,float64,249809,310677,276
rbc/hpf_max,float64,89371,471115,894
rdw_max,float64,249834,310652,231
sodium_max,float64,244395,316091,73
troponini(poc)_max,float64,116380,444106,403
troponint_max,float64,42261,518225,175
tsh_max,float64,46018,514468,1757
wbc_max,float64,249845,310641,592
wbc/hpf_max,float64,90471,470015,895
absolutelymphocytecount_median,float64,246280,314206,454
